Generation: 73 | Drone: 105 | Score: 343.3380444049835 | Explored Cells: 72 of 900 total cells
Generation: 74 | Drone: 158 | Score: 335.5421718756358 | Explored Cells: 38 of 900 total cells
Generation: 75 | Drone: 177 | Score: 393.0 | Explored Cells: 93 of 900 total cells
Generation: 76 | Drone: 133 | Score: 401.0 | Explored Cells: 101 of 900 total cells
Generation: 77 | Drone: 44 | Score: 386.0 | Explored Cells: 86 of 900 total cells
Generation: 78 | Drone: 56 | Score: 389.5197880268097 | Explored Cells: 90 of 900 total cells
Generation: 79 | Drone: 2 | Score: 390.0 | Explored Cells: 90 of 900 total cells
Generation: 80 | Drone: 87 | Score: 401.0 | Explored Cells: 101 of 900 total cells
Generation: 81 | Drone: 122 | Score: 391.0 | Explored Cells: 91 of 900 total cells
Generation: 82 | Drone: 111 | Score: 414.0 | Explored Cells: 114 of 900 total cells
Generation: 83 | Drone: 1 | Score: 393.0 | Explored Cells: 93 of 900 total cells
Generation: 84 | Drone: 2 | Score: 401.09927129745483 | Explored Cells: 102 of 900 total cells
Generation: 85 | Drone: 132 | Score: 434.1581771771113 | Explored Cells: 95 of 900 total cells
Generation: 86 | Drone: 133 | Score: 402.5404889980952 | Explored Cells: 121 of 900 total cells
Generation: 87 | Drone: 4 | Score: 402.3004789352417 | Explored Cells: 107 of 900 total cells
Generation: 88 | Drone: 152 | Score: 477.38813904921216 | Explored Cells: 103 of 900 total cells
Generation: 89 | Drone: 3 | Score: 411.68371963500977 | Explored Cells: 113 of 900 total cells
Generation: 90 | Drone: 4 | Score: 407.0 | Explored Cells: 107 of 900 total cells
Generation: 91 | Drone: 66 | Score: 419.0 | Explored Cells: 119 of 900 total cells
Generation: 92 | Drone: 87 | Score: 412.0 | Explored Cells: 112 of 900 total cells
Generation: 93 | Drone: 3 | Score: 412.9261682828267 | Explored Cells: 114 of 900 total cells
Generation: 94 | Drone: 1 | Score: 415.0 | Explored Cells: 115 of 900 total cells
Generation: 95 | Drone: 9 | Score: 424.0 | Explored Cells: 124 of 900 total cells
Generation: 96 | Drone: 128 | Score: 420.0 | Explored Cells: 120 of 900 total cells
Generation: 97 | Drone: 0 | Score: 425.8652946154277 | Explored Cells: 133 of 900 total cells
Generation: 98 | Drone: 0 | Score: 426.05575346946716 | Explored Cells: 129 of 900 total cells
Generation: 99 | Drone: 148 | Score: 418.84430917104083 | Explored Cells: 122 of 900 total cells
Generation: 100 | Drone: 35 | Score: 442.0 | Explored Cells: 142 of 900 total cells
