Generation: 1 | Drone: 37 | Score: 44.14190183824963 | Explored Cells: 40 of 900 total cells
Generation: 2 | Drone: 0 | Score: 44.28715485552948 | Explored Cells: 42 of 900 total cells
Generation: 3 | Drone: 0 | Score: 44.14596966213648 | Explored Cells: 40 of 900 total cells
Generation: 4 | Drone: 0 | Score: 44.23087467067769 | Explored Cells: 41 of 900 total cells
Generation: 5 | Drone: 94 | Score: 47.70642307652366 | Explored Cells: 80 of 900 total cells
Generation: 6 | Drone: 0 | Score: 47.723355028033254 | Explored Cells: 81 of 900 total cells
Generation: 7 | Drone: 29 | Score: 49.299251595271976 | Explored Cells: 80 of 900 total cells
Generation: 8 | Drone: 69 | Score: 47.88630983518229 | Explored Cells: 64 of 900 total cells
Generation: 9 | Drone: 70 | Score: 49.38820039166345 | Explored Cells: 80 of 900 total cells
Generation: 10 | Drone: 0 | Score: 49.985586191680724 | Explored Cells: 88 of 900 total cells
Generation: 11 | Drone: 1 | Score: 49.37596613287922 | Explored Cells: 81 of 900 total cells
Generation: 12 | Drone: 47 | Score: 49.933662249114754 | Explored Cells: 88 of 900 total cells
Generation: 13 | Drone: 98 | Score: 50.01628444512687 | Explored Cells: 93 of 900 total cells
Generation: 14 | Drone: 1 | Score: 49.31948100414543 | Explored Cells: 79 of 900 total cells
Generation: 15 | Drone: 16 | Score: 49.718183878858895 | Explored Cells: 84 of 900 total cells
Generation: 16 | Drone: 35 | Score: 49.547473547922245 | Explored Cells: 82 of 900 total cells
Generation: 17 | Drone: 1 | Score: 50.045901112092864 | Explored Cells: 89 of 900 total cells
Generation: 18 | Drone: 13 | Score: 49.85676880233819 | Explored Cells: 86 of 900 total cells
Generation: 19 | Drone: 60 | Score: 50.423362030287606 | Explored Cells: 93 of 900 total cells
Generation: 20 | Drone: 0 | Score: 50.084737142158886 | Explored Cells: 89 of 900 total cells
Generation: 21 | Drone: 65 | Score: 50.28973905728925 | Explored Cells: 91 of 900 total cells
Generation: 22 | Drone: 92 | Score: 50.96761811971662 | Explored Cells: 99 of 900 total cells
Generation: 23 | Drone: 0 | Score: 50.740563918749544 | Explored Cells: 96 of 900 total cells
Generation: 24 | Drone: 0 | Score: 50.42615087707839 | Explored Cells: 93 of 900 total cells
Generation: 25 | Drone: 92 | Score: 51.21251886851256 | Explored Cells: 103 of 900 total cells
Generation: 26 | Drone: 0 | Score: 50.97761480735407 | Explored Cells: 100 of 900 total cells
Generation: 27 | Drone: 36 | Score: 50.957111291752945 | Explored Cells: 100 of 900 total cells
Generation: 28 | Drone: 2 | Score: 50.994545106887834 | Explored Cells: 99 of 900 total cells
Generation: 29 | Drone: 5 | Score: 51.66945543766023 | Explored Cells: 108 of 900 total cells
Generation: 30 | Drone: 0 | Score: 51.29560645169683 | Explored Cells: 103 of 900 total cells
Generation: 31 | Drone: 33 | Score: 51.44062918941179 | Explored Cells: 105 of 900 total cells
Generation: 32 | Drone: 6 | Score: 51.47791409446134 | Explored Cells: 107 of 900 total cells
Generation: 33 | Drone: 76 | Score: 51.88964011808238 | Explored Cells: 111 of 900 total cells
Generation: 34 | Drone: 0 | Score: 51.70538759754764 | Explored Cells: 109 of 900 total cells
Generation: 35 | Drone: 1 | Score: 51.97923278338381 | Explored Cells: 112 of 900 total cells
Generation: 36 | Drone: 0 | Score: 51.898521728118276 | Explored Cells: 111 of 900 total cells
Generation: 37 | Drone: 3 | Score: 51.994044219189256 | Explored Cells: 113 of 900 total cells
Generation: 38 | Drone: 95 | Score: 52.04204890529314 | Explored Cells: 114 of 900 total cells
Generation: 39 | Drone: 3 | Score: 51.75714622007478 | Explored Cells: 109 of 900 total cells
Generation: 40 | Drone: 90 | Score: 51.7354404162036 | Explored Cells: 109 of 900 total cells
Generation: 41 | Drone: 30 | Score: 51.74871072802277 | Explored Cells: 110 of 900 total cells
